Joints
200
,,Mathew:HandOuter_Thumb,,,Mathew:LowerArm_HandOuter,,,Mathew:UpperArm_LowerArm,,,Mathew:World_UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm

Segments
200
,,Mathew:HandOuter,,,,,,Mathew:LowerArm,,,,,,Mathew:Thumb,,,,,,Mathew:UpperArm,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm

Trajectories
200
,,Mathew:shoulder,,,Mathew:shoulderElbowSupport,,,Mathew:elbow,,,Mathew:wrist,,,Mathew:elbowWrist,,,Mathew:Triangle1,,,Mathew:Triangle2,,,Mathew:ThumbTip,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
67,0,-367.39,556.109,563.992,-342.589,560.17,471.557,-288.494,547.742,357.553,-148.848,695.32,161.235,-204.853,613.969,229.199,-93.7533,683.82,108.285,-159.862,764.183,102.047,-108.622,793.105,57.0206
68,0,-366.982,556.645,563.874,-341.873,561.167,471.422,-287.317,549.352,357.669,-148.942,698.982,161.834,-203.822,616.61,229.759,-93.4832,688.559,108.622,-161.065,767.516,102.576,-110.835,797.993,57.4551
69,0,-366.53,557.245,563.881,-341.024,562.048,471.678,-285.888,551.378,357.861,-148.949,702.664,162.583,-203.16,619.737,230.577,-93.2646,693.445,109.508,-162.513,771.008,102.919,-112.084,802.611,59.0435
70,0,-366.047,557.947,563.906,-340.172,563.389,472.135,-284.637,553.033,358.212,-149.05,706.468,163.466,-202.22,622.768,231.02,-93.0312,698.079,110.214,-163.742,774.718,103.259,-114.399,807.143,59.5647
71,0,-365.554,558.709,563.939,-339.644,564.518,472.193,-283.41,555.059,358.271,-149.235,710.276,163.92,-201.546,625.523,231.103,-92.8326,702.748,111.174,-165.047,778.16,103.881,-115.939,811.69,60.3518
72,0,-365.463,559.632,563.905,-338.526,565.411,471.956,-281.941,556.84,358.404,-149.659,714.192,164.75,-200.79,628.825,231.712,-93.0298,707.671,111.601,-166.19,781.699,104.943,-118.319,816.573,60.5937
73,0,-364.948,560.223,563.881,-337.48,566.815,472.195,-280.624,558.994,358.846,-149.704,717.897,165.501,-199.852,631.692,232.609,-92.8225,712.552,112.135,-167.104,785.358,105.906,-120.457,821.305,61.3999
74,0,-364.336,560.779,563.918,-336.358,568.099,472.52,-279.263,560.898,359.349,-149.713,721.612,166.166,-198.981,634.66,233.327,-93.0623,717.215,112.88,-168.748,788.978,106.301,-122.263,825.916,62.3706
75,0,-363.658,561.542,563.849,-335.439,569.017,472.499,-278.146,562.901,359.356,-149.917,725.392,166.805,-198.571,637.732,233.69,-93.1242,722.293,113.007,-169.986,792.574,106.536,-124.151,830.591,63.4558
76,0,-362.868,562.486,563.978,-334.076,570.359,472.992,-276.989,565.091,359.541,-150.228,729.249,167.179,-197.897,641.159,234.171,-93.3431,727.042,113.772,-171.484,795.838,107.168,-125.807,835.594,63.7177
77,0,-362.217,563.398,564.109,-333.119,571.719,473.451,-275.702,567.068,359.51,-150.453,733.086,167.973,-197.216,643.806,234.083,-93.4815,731.995,114.065,-172.428,799.362,108.495,-128.106,840.1,64.8574
78,0,-361.724,564.129,564.166,-332.678,572.885,473.483,-274.422,569.359,359.664,-150.802,736.779,168.547,-196.786,647.183,234.797,-93.6476,736.771,114.978,-173.745,802.777,108.589,-131.292,842.219,64.1945
79,0,-361.242,564.778,564.105,-331.846,574.344,473.28,-273.285,571.187,360.077,-151.177,740.646,169.165,-196.095,650.549,235.454,-93.8428,741.706,115.298,-175.406,806.431,109.164,-134.183,842.232,61.4393
80,0,-360.923,565.855,563.514,-331.061,575.754,473.209,-272,573.536,360.353,-151.506,744.468,169.769,-195.538,653.607,235.936,-94.2993,746.764,115.817,-176.727,809.554,109.259,-135.676,844.188,61.5645
81,0,-360.479,567.069,563.26,-330.153,576.992,473.078,-270.846,575.585,360.478,-151.96,748.399,170.247,-194.891,656.779,236.285,-94.7764,751.298,116.196,-178.179,812.919,109.628,-136.952,848.748,62.5089
82,0,-359.921,567.882,563.422,-329.156,578.487,473.068,-269.536,577.82,360.305,-152.449,752.169,170.734,-194.532,659.905,236.607,-94.9962,756.468,117.026,-179.543,816.352,110.299,-138.836,854.897,63.8489
83,0,-359.503,568.604,563.326,-328.203,579.846,473.097,-268.608,580.031,360.21,-153.023,755.996,171.553,-193.845,663.175,237.241,-95.4444,760.95,117.022,-180.702,819.796,110.645,-140.893,860.248,63.2411
84,0,-358.917,569.636,562.94,-327.625,581.088,473.414,-267.277,582.18,360.684,-153.293,759.637,172.046,-193.468,666.528,237.595,-96.0181,765.847,117.718,-182.318,823.126,111.104,-141.938,865.24,64.305
85,0,-358.469,570.747,562.658,-327.119,582.921,473.06,-266.164,584.534,361.019,-153.596,763.599,172.422,-192.902,669.78,237.706,-96.6456,770.56,117.806,-183.618,826.466,111.403,-143.397,869.103,65.513
86,0,-357.827,571.592,562.608,-326.386,584.281,472.571,-264.905,586.741,361.146,-154.29,767.169,172.669,-192.434,672.778,237.855,-97.2625,775.361,118.394,-184.363,830.042,112.063,-144.987,873.515,66.429
87,0,-357.089,572.555,562.566,-325.991,585.758,471.977,-263.882,588.976,361.095,-155,770.981,173.332,-191.82,676.121,238.758,-97.549,780.041,118.924,-185.947,833.113,112.505,-146.21,878.498,66.4595
88,0,-356.531,573.606,562.409,-325.046,587.308,471.93,-262.64,591.501,361.142,-155.431,774.617,173.705,-191.743,679.548,238.96,-98.5421,784.453,119.394,-187.506,836.315,112.499,-147.495,882.382,67.0027
89,0,-355.831,574.68,562.295,-323.707,588.937,472.253,-261.545,593.869,361.694,-156.001,778.418,174.141,-191.362,682.585,239.182,-99.0401,789.118,119.819,-188.742,839.643,112.723,-149.742,886.157,67.6577
90,0,-355.054,575.574,562.269,-322.646,590.434,472.554,-260.578,596.372,361.864,-156.572,782.141,174.495,-191.072,685.8,239.167,-99.5231,793.613,120.418,-190.257,842.695,112.961,-151.642,890.576,68.3077
91,0,-354.475,576.843,562.117,-321.844,591.838,472.451,-259.565,599.026,361.826,-157.146,785.708,174.749,-190.769,689.231,239.892,-100.193,798.153,121.039,-191.434,846.13,112.854,-152.845,895.276,69.3331
92,0,-354.073,578.037,561.682,-321.154,593.786,472.573,-258.866,601.181,361.652,-157.814,789.5,175.539,-190.18,692.405,240.487,-101.052,802.474,120.896,-192.286,849.255,113.095,-153.619,900.098,69.2925
93,0,-353.389,578.97,561.831,-320.656,595.219,472.442,-257.727,603.677,362.032,-158.281,793.137,176.023,-189.685,695.5,240.375,-101.474,806.813,121.615,-193.686,852.23,113.82,-155.243,905.241,70.6855
