Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
83,0,466.738,14.7965145,595.7849,582.1318,66.22373,416.21356,695.62463,117.03093,276.77744,739.15924,284.87637,176.3986,716.273,227.3903,206.70824,770.70135,293.9519,112.03889,707.9205,329.3398,123.94252,698.5815,328.80676,119.73229
84,0,468.52728,15.647153,597.1758,585.245,67.6817,418.14905,700.87665,118.21727,278.9843,748.2818,285.73148,176.82341,723.49207,228.22949,208.15125,779.94446,293.21594,112.123825,719.45496,330.8814,123.48243,711.2046,329.9724,120.04736
85,0,470.37704,16.450907,598.5719,588.4771,69.1285,420.0928,706.2717,119.40365,281.22766,757.6365,286.50214,177.22705,730.9029,229.01367,209.61694,789.44507,292.33414,112.15041,731.3195,332.3376,122.93377,724.2116,331.01898,120.28386
86,0,472.2929,17.203201,599.9694,591.83,70.56389,422.0472,711.8145,120.58922,283.50534,767.2169,287.19174,177.6104,738.5112,229.74416,211.10345,799.1871,291.31436,112.12059,743.5296,333.71402,122.289246,737.62244,331.95233,120.43681
87,0,474.281,17.901653,601.36615,595.3049,71.986984,424.01465,717.50604,121.77264,285.8173,777.0229,287.80322,177.97334,746.3206,230.4224,212.60995,809.1667,290.1621,112.03642,756.09534,335.01572,121.54323,751.44867,332.77798,120.50139
88,0,476.421,18.591692,602.78156,598.90955,73.376175,425.96112,723.2883,122.95632,288.1409,787.0445,288.30872,178.38164,754.223,231.04764,214.16344,819.41327,288.9588,111.82578,769.0447,336.29404,120.75721,765.3994,333.52762,120.39603
89,0,478.7196,19.33058,604.2245,602.6234,74.732185,427.855,729.0839,124.15898,290.44724,797.1475,288.69296,178.89514,762.10535,231.63194,215.77148,829.7609,287.80597,111.4372,782.2179,337.61545,119.99775,779.1315,334.2457,120.04068
90,0,481.00873,20.10742,605.6646,606.36383,76.11191,429.73248,734.8711,125.407074,292.74625,807.13257,289.00693,179.44846,769.9876,232.20287,217.38431,839.89075,286.6807,110.967316,795.3241,338.96625,119.216194,792.76666,334.93924,119.49583
91,0,483.24133,20.92838,607.09906,610.0563,77.5426,431.61496,740.5822,126.71249,295.05014,816.94055,289.27634,180.00487,777.7841,232.77505,218.99185,849.7765,285.5669,110.45849,808.32794,340.3235,118.38431,806.32404,335.61383,118.79325
92,0,485.411,21.792578,608.52576,613.657,79.03621,433.5066,746.17334,128.0784,297.3638,826.5769,289.5141,180.54707,785.45776,233.35666,220.58919,859.4293,284.44827,109.9292,821.20667,341.673,117.49254,819.79376,336.26608,117.95327
93,0,487.5167,22.701149,609.944,617.1426,80.59702,435.40942,751.6151,129.5053,299.69022,836.0385,289.7259,181.06377,792.98,233.95168,222.17351,868.87317,283.3134,109.38714,833.949,343.0049,116.53596,833.1679,336.8946,116.9887
94,0,489.5653,23.655005,611.34875,620.4855,82.210945,437.33545,756.86285,130.99442,302.03238,845.3545,289.90857,181.54182,800.3193,234.56581,223.73827,878.1254,282.17404,108.82477,846.5753,344.2972,115.53523,846.46857,337.49835,115.899605
