Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
43,0,444.3393,-109.89984,428.87155,352.42456,-10.814352,298.02106,268.43878,67.08605,185.40895,133.38731,214.47227,38.14023,180.16028,152.1283,101.311104,156.80797,260.18283,14.299107,52.066025,231.47441,17.727951,12.869532,275.56555,23.92757
44,0,444.0202,-110.69556,428.11942,351.42386,-11.172256,297.7337,266.83215,67.156845,185.71959,130.9791,214.27892,37.705704,177.80939,151.76085,101.38877,154.38681,260.00577,14.057983,49.90364,230.98236,17.315731,10.773095,275.05823,23.910389
45,0,443.62332,-111.50558,427.38882,350.34372,-11.542531,297.47345,265.1603,67.22704,186.06912,128.50716,214.0775,37.264107,175.3901,151.37923,101.48286,151.91081,259.81964,13.813917,47.693363,230.47652,16.894808,8.647444,274.54446,23.89591
46,0,443.14685,-112.32981,426.68204,349.1826,-11.92524,297.2427,263.42368,67.29682,186.46016,125.97542,213.86769,36.81476,172.90532,150.98312,101.59405,149.38527,259.62372,13.566804,45.439598,229.95712,16.464035,6.4982963,274.0255,23.884226
47,0,442.5888,-113.16812,426.00134,347.93887,-12.320364,297.0442,261.62216,67.36649,186.8956,123.3881,213.64899,36.3569,170.35796,150.57219,101.72311,146.81583,259.41724,13.316451,43.147175,229.42441,16.022062,4.3315578,273.50266,23.875359
48,0,441.94724,-114.020256,425.34918,346.61087,-12.727702,296.8808,259.75583,67.43653,187.37854,120.74901,213.42097,35.889656,167.75096,150.14607,101.87098,144.20807,259.19934,13.062756,40.820553,228.87862,15.567394,2.1530092,272.9773,23.869326
49,0,441.2202,-114.885796,424.72842,345.19678,-13.146925,296.7558,257.82437,67.507454,187.91248,118.06235,213.18315,35.412052,165.08717,149.70444,102.03862,141.56767,258.96915,12.805499,38.46456,228.31984,15.098374,-0.031071655,272.45087,23.866106
50,0,440.4057,-115.76423,424.14197,343.69467,-13.577573,296.6727,255.82745,67.579926,188.50114,115.3321,212.93498,34.923073,162.36955,149.24686,102.22722,138.90042,258.7257,12.544561,36.083748,227.74821,14.613132,-2.2147174,271.9248,23.86563
51,0,439.50162,-116.6549,423.593,342.1024,-14.018967,296.63528,253.76431,67.65483,189.14867,112.56231,212.67589,34.4215,159.60086,148.773,102.43804,136.21227,258.46805,12.279757,33.68244,227.16377,14.109636,-4.39165,271.4007,23.867817
52,0,438.50568,-117.55701,423.08487,340.4177,-14.470298,296.6477,251.6339,67.733154,189.8595,109.75691,212.40523,33.906113,156.7837,148.28247,102.67258,133.50902,258.1952,12.010948,31.265287,226.56644,13.585658,-6.5557156,270.88016,23.872528
