Frame,Sub Frame,Tasch:shoulder:X (mm),Tasch:shoulder:Y (mm),Tasch:shoulder:Z (mm),Tasch:shoulderElbowSupport:X (mm),Tasch:shoulderElbowSupport:Y (mm),Tasch:shoulderElbowSupport:Z (mm),Tasch:elbow:X (mm),Tasch:elbow:Y (mm),Tasch:elbow:Z (mm),Tasch:wrist:X (mm),Tasch:wrist:Y (mm),Tasch:wrist:Z (mm),Tasch:elbowWrist:X (mm),Tasch:elbowWrist:Y (mm),Tasch:elbowWrist:Z (mm),Tasch:outerKnuckle:X (mm),Tasch:outerKnuckle:Y (mm),Tasch:outerKnuckle:Z (mm),Tasch:thumbKnuckle:X (mm),Tasch:thumbKnuckle:Y (mm),Tasch:thumbKnuckle:Z (mm),Tasch:thumbTip:X (mm),Tasch:thumbTip:Y (mm),Tasch:thumbTip:Z (mm)
87,0,418.45142,-76.985466,467.62744,336.17078,3.042677,320.19757,256.9749,63.8027,189.08893,101.57942,210.71957,53.331947,161.77768,150.05649,112.899704,127.24816,253.29015,15.256627,13.993197,225.35933,32.85792,-26.855322,274.53067,31.13058
88,0,418.4263,-76.93991,467.5229,336.05737,3.1470077,320.12103,256.78912,63.921844,189.02863,101.383354,210.75314,53.322136,161.55377,150.14491,112.891716,127.009636,253.40952,15.225718,13.809109,225.3534,32.87302,-27.150267,274.54163,31.17311
89,0,418.40506,-76.89636,467.41806,335.95032,3.2465377,320.0425,256.61224,64.03722,188.9663,101.202065,210.78606,53.310844,161.34412,150.23323,112.87807,126.78667,253.52727,15.200696,13.635499,225.35092,32.887756,-27.431133,274.55524,31.213507
90,0,418.38858,-76.85509,467.3129,335.85037,3.341139,319.96213,256.44507,64.14868,188.90195,101.03621,210.81847,53.298317,161.14941,150.32146,112.858955,126.58004,253.64348,15.181301,13.473645,225.35197,32.902218,-27.696426,274.57147,31.251719
91,0,418.3776,-76.816345,467.20728,335.7583,3.4307148,319.87997,256.28833,64.25616,188.83554,100.88636,210.8505,53.284733,160.97023,150.40958,112.83458,126.39002,253.75816,15.167293,13.32436,225.35648,32.91643,-27.945095,274.59027,31.287718
92,0,418.37268,-76.78035,467.10117,335.67453,3.5151737,319.79605,256.1428,64.35958,188.76712,100.75275,210.88225,53.270283,160.80696,150.49754,112.8051,126.217026,253.87132,15.158469,13.188457,225.36441,32.930458,-28.176016,274.61154,31.321482
93,0,418.37442,-76.74735,466.99445,335.59976,3.5944307,319.71042,256.0089,64.45888,188.69676,100.635796,210.91374,53.25511,160.65997,150.58533,112.7707,126.06152,253.98296,15.15464,13.066572,225.37569,32.944317,-28.388536,274.63513,31.353
94,0,418.38336,-76.71753,466.88696,335.53433,3.6684248,319.62314,255.88713,64.55402,188.6245,100.53584,210.94505,53.239372,160.52951,150.67284,112.73157,125.923515,254.09302,15.155643,12.95929,225.3902,32.958046,-28.58207,274.66095,31.382252
95,0,418.39996,-76.69105,466.7787,335.47882,3.737138,319.5342,255.7779,64.64499,188.55035,100.45314,210.97621,53.22317,160.41588,150.76,112.68788,125.803444,254.20149,15.1613245,12.866983,225.40784,32.97165,-28.755959,274.68884,31.40923
96,0,418.4246,-76.668076,466.66943,335.4334,3.8005338,319.44366,255.68175,64.73177,188.47444,100.38785,211.00725,53.20661,160.31929,150.84671,112.63981,125.70137,254.30835,15.171561,12.790266,225.42842,32.98514,-28.910019,274.7187,31.433912
